family	fam_size	comparison	mean	sd	95perc
C2C2-Dof	21	within	0.8771	0.1224	0.9800
C2C2-Dof	21	between	0.4408	0.2022	0.7800
C2C2-Dof	21	random	0.4016	0.1785	0.7200
NAC	60	within	0.6956	0.1577	0.9300
NAC	60	between	0.4360	0.1279	0.6600
NAC	60	random	0.4471	0.1452	0.7000
BZR	4	within	0.9550	0.0385	0.9900
BZR	4	between	0.3851	0.1567	0.6900
BZR	4	random	0.4052	0.1532	0.6900
LIM	1	within	NaN	NaN	NaN
LIM	1	between	0.4035	0.1501	0.6200
LIM	1	random	0.2602	0.1793	0.5500
ZF-HD	6	within	0.8033	0.1723	0.9800
ZF-HD	6	between	0.4146	0.1861	0.7100
ZF-HD	6	random	0.3608	0.1751	0.6400
FHA	1	within	NaN	NaN	NaN
FHA	1	between	0.4769	0.1255	0.7075
FHA	1	random	0.5234	0.1263	0.7300
G2-like	17	within	0.7692	0.1334	0.9600
G2-like	17	between	0.4036	0.1657	0.6900
G2-like	17	random	0.3901	0.1751	0.7000
C2C2-CO-like	2	within	0.9800	0.0000	0.9800
C2C2-CO-like	2	between	0.4745	0.1304	0.7100
C2C2-CO-like	2	random	0.5220	0.1267	0.7400
CPP	8	within	0.9132	0.0460	0.9800
CPP	8	between	0.3729	0.1914	0.6500
CPP	8	random	0.2843	0.2075	0.6200
Unknown	2	within	0.6400	0.0000	0.6400
Unknown	2	between	0.3865	0.1549	0.6900
Unknown	2	random	0.4050	0.1454	0.6600
TCP	21	within	0.8090	0.1201	0.9900
TCP	21	between	0.3539	0.1430	0.5900
TCP	21	random	0.3767	0.1847	0.6900
REM	2	within	0.7000	0.0000	0.7000
REM	2	between	0.4238	0.1987	0.7600
REM	2	random	0.3242	0.1928	0.6305
AP2-EREBP	115	within	0.7310	0.1884	0.9700
AP2-EREBP	115	between	0.3542	0.1570	0.6000
AP2-EREBP	115	random	0.3802	0.1747	0.6700
EIL	5	within	0.7270	0.1763	0.9400
EIL	5	between	0.4005	0.1270	0.6200
EIL	5	random	0.3960	0.1721	0.6800
CAMTA	4	within	0.8350	0.1519	0.9800
CAMTA	4	between	0.3937	0.1348	0.6500
CAMTA	4	random	0.3851	0.1575	0.6600
NLP	3	within	0.3967	0.1565	0.5700
NLP	3	between	0.4131	0.1200	0.6200
NLP	3	random	0.4430	0.1418	0.6900
bZIP	50	within	0.6567	0.2072	0.9900
bZIP	50	between	0.4059	0.1281	0.6300
bZIP	50	random	0.4055	0.1537	0.6800
HSF	10	within	0.9798	0.0226	1.0000
HSF	10	between	0.3788	0.1318	0.6400
HSF	10	random	0.4189	0.1470	0.6500
mTERF	1	within	NaN	NaN	NaN
mTERF	1	between	0.3664	0.2512	0.9300
mTERF	1	random	0.3578	0.1646	0.6405
GRAS	1	within	NaN	NaN	NaN
GRAS	1	between	0.3931	0.1378	0.5975
GRAS	1	random	0.3588	0.1490	0.6000
ARID	4	within	0.8167	0.1526	0.9800
ARID	4	between	0.3998	0.2127	0.7145
ARID	4	random	0.3139	0.2139	0.6900
Trihelix	13	within	0.6053	0.1998	0.9800
Trihelix	13	between	0.4602	0.1525	0.7200
Trihelix	13	random	0.4301	0.1507	0.7100
LBD	9	within	0.7297	0.1405	0.9745
LBD	9	between	0.4006	0.1603	0.7000
LBD	9	random	0.4286	0.1559	0.7200
AT-hook	2	within	0.5400	0.0000	0.5400
AT-hook	2	between	0.4083	0.2189	0.7200
AT-hook	2	random	0.2592	0.2082	0.5800
HMG	1	within	NaN	NaN	NaN
HMG	1	between	0.4018	0.2107	0.8900
HMG	1	random	0.4185	0.1418	0.6900
LFY	1	within	NaN	NaN	NaN
LFY	1	between	0.3725	0.1278	0.6100
LFY	1	random	0.4315	0.1347	0.6800
GATA	14	within	0.7464	0.1638	0.9595
GATA	14	between	0.3605	0.1222	0.5700
GATA	14	random	0.3204	0.1648	0.6000
MADS	27	within	0.6850	0.2062	0.9600
MADS	27	between	0.4327	0.1592	0.6900
MADS	27	random	0.3857	0.1939	0.7000
Homeobox	44	within	0.6606	0.1833	0.9500
Homeobox	44	between	0.4056	0.1544	0.6500
Homeobox	44	random	0.3491	0.1872	0.6600
CSD	1	within	NaN	NaN	NaN
CSD	1	between	0.3958	0.2430	0.8000
CSD	1	random	0.2252	0.2248	0.5300
WRKY	60	within	0.8766	0.1159	0.9900
WRKY	60	between	0.4312	0.1259	0.6500
WRKY	60	random	0.4106	0.1603	0.7100
Dof	12	within	0.8359	0.1353	0.9900
Dof	12	between	0.4600	0.1733	0.7400
Dof	12	random	0.3186	0.1773	0.6300
SBP	18	within	0.7514	0.1468	0.9900
SBP	18	between	0.3975	0.1288	0.6100
SBP	18	random	0.3960	0.1566	0.6700
GRF	3	within	0.6733	0.2106	0.9000
GRF	3	between	0.4552	0.1346	0.6800
GRF	3	random	0.4383	0.1501	0.7305
BBR/BPC	3	within	1.0000	0.0000	1.0000
BBR/BPC	3	between	0.3389	0.1211	0.5500
BBR/BPC	3	random	0.3112	0.1553	0.5700
S1Fa-like	1	within	NaN	NaN	NaN
S1Fa-like	1	between	0.3849	0.1473	0.6675
S1Fa-like	1	random	0.4231	0.1438	0.6400
C2H2	36	within	0.5152	0.2089	0.9700
