Idx	M	adj.P
AT3G55970	5.902437262	9.68E-07
AT4G12500	4.788845939	1.97E-06
AT2G02990	6.029731062	2.82E-06
AT5G13220	3.987716323	2.83E-06
AT2G27690	3.150247461	3.01E-06
AT5G46050	3.387184007	3.67E-06
AT3G15720	3.327386912	4.23E-06
AT5G07010	5.865577192	6.60E-06
AT1G43160	6.060691413	8.86E-06
AT2G38240	5.801700553	9.34E-06
AT1G77380	4.002394059	1.16E-05
AT4G14365	2.673049676	1.18E-05
AT5G52760	2.276109996	1.42E-05
AT1G52890	3.34671874	2.25E-05
AT1G54020	2.496619998	2.30E-05
AT5G26260	2.422715094	2.71E-05
AT3G09270	2.229131951	2.94E-05
AT2G38530	3.886271581	3.16E-05
AT1G76960	1.966807507	3.57E-05
AT1G19380	1.906240529	3.70E-05
AT1G68290	2.75235167	3.88E-05
AT1G10585	4.590769673	4.86E-05
AT2G47180	1.817573218	4.87E-05
AT5G58350	1.763317418	4.93E-05
AT1G72450	1.574142008	5.35E-05
AT1G80840	2.565005882	5.45E-05
AT3G46230	2.679879124	5.46E-05
AT5G40780	2.164919497	5.46E-05
AT2G22880	1.711574206	5.52E-05
AT4G32870	1.584286054	5.61E-05
AT3G59220	5.344229765	5.63E-05
AT2G43510	3.750473112	5.67E-05
AT3G50900	1.703920264	5.81E-05
AT1G51760	1.592632062	6.22E-05
AT3G50970	1.903243051	6.26E-05
AT4G11890	2.374732162	6.38E-05
AT5G05600	6.415787571	6.42E-05
AT2G24850	4.814446248	6.86E-05
AT1G21100	1.508825026	6.87E-05
AT1G74360	1.425823924	7.28E-05
AT5G06870	1.511446095	8.05E-05
AT3G26830	2.42128306	8.18E-05
AT4G21120	1.578033732	8.20E-05
AT1G32640	1.511952476	8.38E-05
AT2G22860	1.610150778	8.73E-05
AT2G39030	3.913943483	9.09E-05
AT4G39675	2.152359667	9.35E-05
AT4G36580	1.504190134	9.37E-05
AT1G51800	1.758730367	9.51E-05
AT5G57550	3.004913516	9.60E-05
AT1G17380	2.753444056	9.69E-05
AT3G51450	2.162380213	9.75E-05
AT2G29500	2.928385732	0.000111729
AT1G51890	2.10570416	0.000116799
AT1G70700	2.051593925	0.00012268
AT3G26210	1.769249618	0.000141076
AT1G43910	1.332791998	0.000142888
AT1G62660	1.554543348	0.000145633
AT5G38020	2.457619923	0.000146941
AT4G37410	2.417291085	0.000149959
AT5G44380	1.652763447	0.000153275
AT4G20110	1.7265773	0.000156955
AT3G26820	1.678403037	0.000158152
AT5G01540	1.952849889	0.000158212
AT3G59670	1.23689246	0.000160737
AT1G43320	-1.178116801	0.000163597
AT5G45380	1.161761476	0.000167128
AT1G74010	2.631492138	0.000177811
AT1G33960	2.529980991	0.000180749
AT4G23220	1.987577943	0.000182245
AT1G62570	1.733171333	0.000182432
AT4G34230	1.791950972	0.000182941
AT2G02810	1.226863837	0.000183201
AT1G69880	2.642558277	0.000184048
AT4G19430	2.634862826	0.000187262
AT3G46900	-1.847177625	0.000189508
AT3G24500	1.195321254	0.000193971
AT3G50770	3.246001581	0.000196231
ATCG00270	-1.254835692	0.000198117
AT2G43620	4.310990795	0.000204808
AT4G15440	1.513562015	0.000210177
AT3G25780	2.045409938	0.000212307
AT5G52640	2.133634259	0.000214841
AT4G20860	2.994576246	0.00021561
AT1G19180	2.488734133	0.000227072
AT5G38710	2.200786585	0.000228197
AT5G65870	2.501264976	0.000228588
AT2G37130	1.170375623	0.000235339
AT4G21390	1.526002035	0.000246584
AT2G23120	1.169986977	0.000251725
AT1G47400	-1.149573953	0.000252534
AT5G25930	1.652393829	0.000256334
AT5G48540	2.329974306	0.00025792
AT2G46270	1.40593376	0.000259394
AT5G10380	1.311749131	0.000266258
AT2G30520	-1.075199181	0.0002704
AT3G50280	1.631252516	0.000270603
ATCG00190	-1.120701091	0.000270883
AT1G19610	3.860228568	0.000271832
AT1G52400	1.35070654	0.000279284
AT3G51890	1.07782697	0.000280194
AT4G33050	1.131582176	0.000281106
AT3G18560	1.023550656	0.000281512
AT1G53540	2.550967952	0.000281745
AT4G36990	2.505479162	0.000284123
ATMG00840	-1.686717633	0.000293153
AT2G26390	-1.019983919	0.00029645
AT5G23810	1.114041351	0.000296703
AT1G72940	1.079906321	0.000299043
AT3G08970	1.302219564	0.000299995
AT2G41100	1.852888696	0.000305847
AT4G15210	4.205428344	0.000311474
AT3G47640	-1.028591882	0.00031354
AT3G49780	1.903600761	0.000314879
AT1G67120	1.030959517	0.000315304
AT5G19875	1.326117095	0.000321408
AT5G05890	-1.021314565	0.000323818
AT2G40370	1.396502954	0.000323926
AT4G31800	2.232473911	0.000329815
AT2G38860	1.06165121	0.000334416
AT3G25020	1.13814278	0.000338891
AT2G41800	3.639961752	0.000339651
AT1G05340	2.278266002	0.000358925
AT5G49520	2.612153102	0.000365724
AT5G15860	1.042030577	0.000368954
AT2G20560	1.05326411	0.000376865
AT3G28210	2.792451545	0.000376938
AT1G06080	-1.109687153	0.000380895
AT1G59860	1.07911277	0.000381677
AT1G45145	2.296465854	0.000385202
AT3G45140	1.207070121	0.000386657
AT1G15010	4.174360911	0.000387515
AT1G77120	0.955910149	0.000398547
AT4G08870	0.973213094	0.000399845
AT5G54490	1.199183104	0.000408577
AT5G36220	2.386623494	0.000415847
AT5G25260	0.935933099	0.000416044
AT2G17040	1.663829418	0.000423328
AT2G34930	1.693954657	0.000434082
AT3G63010	1.156937715	0.00044474
AT3G19720	-1.310646511	0.000446664
AT3G49320	1.049712246	0.000447907
AT1G44350	1.888057273	0.000451404
AT1G14370	1.32385825	0.000476317
AT1G66160	1.955395443	0.000477087
AT1G10470	1.144495792	0.000481764
AT5G55050	3.808831492	0.00048457
AT1G53885	2.163538353	0.000493219
AT1G17860	0.906569186	0.000494058
AT4G13030	0.944912068	0.000498064
AT3G16500	0.872612377	0.000501893
AT2G04450	0.958028995	0.000508859
AT5G62990	0.959054197	0.000513797
AT1G52000	2.124541803	0.000536356
AT1G45616	0.872389538	0.000544478
AT1G19670	1.267953063	0.00054655
AT3G25180	1.268326732	0.000568479
AT3G54960	0.943122048	0.000575824
AT1G27730	3.062750907	0.000575896
AT4G37990	2.577332995	0.000577201
AT1G09300	0.889835527	0.000578533
AT4G14300	-0.839742609	0.000588068
AT3G56060	-0.877505692	0.000590942
AT5G20590	0.884483082	0.000600454
AT5G25500	0.885460884	0.00060665
AT2G17740	1.483461987	0.00060877
AT3G58070	-0.970983227	0.000610301
AT1G04980	1.04905593	0.000613886
AT5G01850	1.284182119	0.000613939
AT5G26770	1.066760126	0.000624467
AT3G15210	1.107336924	0.000628823
AT1G19020	2.362595715	0.000632287
AT2G03740	-1.113270246	0.000635538
AT1G14870	3.234124217	0.000638649
AT3G44860	3.185917195	0.000656655
AT3G48550	-0.864403199	0.000660622
AT2G29460	3.078235962	0.000663685
AT4G35180	1.891331339	0.000664188
AT1G23730	1.334655686	0.000664323
AT3G52640	-0.898560178	0.000666362
AT5G47330	3.081927341	0.000671769
AT2G39380	1.7618229	0.000673472
AT1G68990	0.92636116	0.000674577
AT2G42280	1.012991212	0.000677173
AT4G18120	0.833641267	0.000689175
AT3G51440	1.332607467	0.000693011
AT2G25000	1.937686741	0.000698116
AT1G07290	-1.038361759	0.000701423
AT2G43530	1.016180235	0.000706692
AT5G04720	1.054309467	0.000713355
AT5G57760	-1.368108217	0.000727744
AT1G52030	1.339840354	0.000728335
AT2G20050	-0.954593336	0.000736924
ATMG00640	0.878142445	0.000740844
AT2G43520	1.123811782	0.000741253
AT2G23680	2.117925251	0.000741432
AT2G07360	-0.937868618	0.000743101
AT3G46210	0.902725948	0.000747227
AT3G09350	1.052008342	0.000748516
AT1G79460	-0.98175944	0.000760334
AT5G10850	-1.219741986	0.00076419
AT1G60200	-1.248615734	0.00076965
AT5G12020	2.317311445	0.000770864
AT4G13750	0.840188017	0.000774632
AT5G61890	1.057433046	0.000777226
AT5G04230	-0.997838632	0.000783418
AT5G54130	-0.925904098	0.000786662
AT1G10370	1.627998106	0.000790192
AT1G52200	1.557234355	0.000792439
AT5G65280	1.085034913	0.000793364
AT1G74950	0.963064996	0.000797458
AT1G53180	0.799253248	0.000803577
AT2G24160	0.856168465	0.000824408
AT1G22590	-0.844981209	0.000848392
AT5G16400	-0.877878224	0.000850722
AT3G08600	-0.790536912	0.00085283
AT5G57150	0.804923444	0.000855984
AT3G44750	1.066939189	0.000856366
AT5G23380	0.793671887	0.000856382
AT2G41380	2.671251799	0.000857491
AT5G66750	-0.923688624	0.000860459
AT2G20190	-1.284109729	0.000878806
AT1G31550	1.037214367	0.000878828
AT1G52190	-0.868607298	0.000882831
AT4G34480	-0.992132268	0.000904834
AT1G73805	0.819355418	0.00090994
AT2G22770	1.033403769	0.000914373
AT1G14360	0.8501588	0.00091777
AT1G74310	0.848724997	0.000920725
AT1G65690	0.897282901	0.000921132
AT4G35150	0.802955375	0.000927194
AT5G50670	0.81082283	0.000938557
AT1G18570	1.736407745	0.000944794
AT3G50910	0.777113106	0.000954025
AT3G61550	-0.831127388	0.000960364
AT1G61210	-0.996434239	0.000961971
AT1G19200	-1.353892593	0.000970432
AT5G11590	-0.853876129	0.000982097
AT1G52410	1.365630593	0.000992241
AT5G60410	-0.846412258	0.00099571
AT4G01390	-0.7958186	0.001009832
AT1G24575	1.690756957	0.001033888
AT3G28270	1.083327055	0.001034372
AT1G19570	1.10617171	0.001035316
AT4G14570	-0.841091928	0.001037166
AT5G12420	2.26265134	0.001041848
ATMG01200	-1.100091938	0.001071488
AT3G25760	1.024063465	0.001080778
AT1G15830	-0.768276396	0.001090063
ATCG01110	-0.930126272	0.001101821
AT2G21200	-1.64876517	0.001105538
AT3G54420	2.230009401	0.001108211
AT3G15590	0.814652209	0.001116506
AT1G69840	0.714933741	0.001119631
AT2G23800	-0.934963251	0.001133256
AT3G10930	1.537925287	0.001138876
AT1G73670	-0.746529833	0.00114204
AT3G48520	2.92649837	0.001148968
AT1G13810	0.911252377	0.001154161
ATCG01080	-1.133294495	0.001165416
AT1G21790	0.729399444	0.001190823
AT3G48000	0.70146291	0.001190888
AT1G51850	0.800802692	0.001192411
AT4G15660	1.255985629	0.00119252
AT1G13740	0.756755033	0.001198482
AT5G65210	0.871314983	0.00120106
AT2G01450	0.938485702	0.001219562
AT2G32690	-1.295189693	0.001221448
AT3G25610	1.701184808	0.001227328
AT3G07860	1.049739018	0.001232166
AT4G24340	0.70404366	0.001253568
AT3G56980	-0.81789231	0.001270753
AT4G19170	-0.713009572	0.001271939
AT4G21090	0.736681301	0.001275627
AT4G28520	-0.844557254	0.00127999
AT4G17070	0.936467811	0.001284574
AT5G22250	0.861726717	0.001288599
AT5G15550	0.798555722	0.001301431
AT4G28270	0.700434235	0.001309249
AT5G10695	0.947882824	0.00131098
AT3G19850	-0.7070183	0.001312135
AT3G18050	-0.921351895	0.001317342
AT5G20480	0.701367605	0.001320455
AT1G72260	3.103437561	0.001323824
AT4G00340	-1.015856916	0.001331024
AT3G28540	2.01440698	0.00133132
AT3G51470	-0.855774036	0.001353178
AT2G06050	1.220205105	0.001363775
AT3G18930	0.795520155	0.001368699
AT3G11964	0.703665031	0.00137205
AT2G28870	-0.918919391	0.001381154
AT2G01530	2.614189522	0.001383648
AT3G46280	2.199254029	0.001391685
AT4G39800	-1.493207128	0.001395854
AT1G65500	1.570450515	0.001400543
AT5G51690	-1.398437303	0.001419925
AT3G54690	-0.704882514	0.001423197
AT3G11010	1.521584237	0.001426322
AT5G52390	1.728253585	0.001427616
AT3G20230	-0.70977174	0.001443153
AT5G51130	1.0029123	0.001452854
AT5G36710	-0.75287522	0.001472933
AT2G40860	-0.701527951	0.001474423
AT5G60470	0.714589632	0.001478097
AT5G17490	0.748986108	0.00149396
AT3G49120	0.713529985	0.001497374
AT3G50480	2.042172533	0.001504272
AT4G23810	2.076651276	0.00150745
AT3G07750	1.156726421	0.001510444
AT3G15570	-1.061168023	0.001512668
AT1G49975	-0.706204953	0.001516678
AT2G18220	0.691470152	0.001518348
AT2G40140	0.656696444	0.001527234
AT5G35970	-0.935929845	0.001535741
AT1G51110	-0.785801308	0.001551097
AT2G40360	0.927090816	0.001568352
AT5G27100	-0.695081064	0.001568538
AT3G51430	1.051192856	0.001569143
AT5G64510	2.21748137	0.001574915
AT1G23205	-1.016270141	0.001579269
AT5G64050	-0.813709784	0.001580108
AT3G51740	-0.653647899	0.001595446
AT5G39670	1.736699081	0.001596093
AT5G24380	-0.666121907	0.001607363
AT5G51620	0.666820357	0.001610136
AT5G60850	-0.712386148	0.00162241
AT1G34355	0.848678351	0.001633557
AT3G43510	0.700656574	0.001635805
AT5G42250	-0.651037347	0.001638934
AT4G25110	1.476418812	0.001649211
AT5G24530	1.101480429	0.001651244
AT5G38390	-0.869508555	0.001656336
AT5G47730	0.861748876	0.00166162
AT5G43640	-0.670820197	0.001665349
AT3G49310	-0.932627738	0.00167307
AT5G52750	2.675809517	0.001676008
AT1G06770	0.853487167	0.001676073
AT2G15080	1.047944549	0.001680911
AT1G78070	-0.845810757	0.001685697
AT5G66080	-0.745480263	0.001687634
AT1G63040	1.375504671	0.001689764
AT1G44100	0.862603454	0.001699932
AT3G08670	-1.026005554	0.001705073
AT5G12030	1.762163865	0.001706416
AT5G09400	-1.189384061	0.001709085
AT3G10120	0.769955348	0.001709265
AT3G02040	0.700541518	0.001717449
AT2G32500	-0.703705128	0.001727638
AT5G26280	0.81887305	0.001732455
AT2G07768	-0.781840384	0.001738688
AT4G21850	1.879186768	0.001739037
AT4G23920	-0.646412146	0.001746591
AT5G67300	0.737104147	0.001760394
AT4G27860	1.078866026	0.001768196
AT1G08830	1.417914709	0.001775264
AT5G23660	0.645159885	0.001786344
AT2G39200	1.780637518	0.001786941
AT5G55920	0.851340706	0.001787238
AT1G64200	0.703882344	0.001792242
AT4G35400	-0.768069176	0.00179741
AT3G46490	-0.866063824	0.001802037
AT1G02930	3.289535219	0.001826711
AT3G11930	0.654368867	0.001827246
AT5G42050	0.869116361	0.001834082
AT1G31100	-0.627584749	0.001835377
AT4G15610	4.16772215	0.001842056
AT5G11890	-0.82023931	0.001857255
AT5G63590	0.655113068	0.001860425
AT3G03990	0.972952344	0.001860661
AT4G30160	-0.680812934	0.001860841
AT5G15240	-0.742131202	0.001873441
AT5G35100	-0.778937959	0.001874165
AT3G13790	3.79645289	0.001878866
AT4G32800	1.07706188	0.001878952
AT5G27600	0.763516286	0.001885854
AT5G09220	-0.909519915	0.001896133
AT5G45560	-0.800976825	0.001909853
AT1G73600	-1.056428649	0.001909932
AT2G19670	1.182016821	0.001925128
AT4G32280	-1.187368651	0.001925598
AT3G48080	1.371123472	0.00192664
AT2G23540	2.004670982	0.001933161
AT1G32940	0.877802047	0.001934232
AT1G15440	0.763088897	0.001939674
AT2G20100	-0.737211492	0.001950839
AT1G14120	1.335401401	0.00195367
AT5G24320	-0.683705538	0.001962232
AT4G35600	0.666984119	0.001970698
AT1G34040	0.771563758	0.001977147
AT4G24510	0.682638847	0.001977182
AT3G12810	-1.162140431	0.001978117
AT2G41410	1.350592292	0.001983689
AT4G12480	3.145411276	0.001990134
AT3G16460	0.616470998	0.00199292
AT4G24190	0.67739343	0.002005665
AT2G24300	0.799744494	0.002008231
AT1G17590	0.820336394	0.002010649
AT1G29940	0.862136699	0.002010912
AT5G61660	-0.841296686	0.00201971
AT1G63250	0.789503649	0.002025283
AT5G60490	-0.685158741	0.002030244
AT3G03380	-0.879373101	0.002055818
AT3G17910	0.670096077	0.002073123
AT1G73800	1.751658638	0.002076693
AT5G36930	0.678450653	0.002081392
AT1G28610	-0.765303634	0.002082477
AT2G40000	1.906875697	0.002083027
AT5G62850	-0.738358603	0.002093785
AT1G63840	0.807582937	0.002093988
AT4G13660	1.21904467	0.002094571
AT2G43000	1.205423176	0.002102804
AT1G31190	-0.643271598	0.002103012
AT1G31430	0.667880383	0.002109372
AT5G15830	-0.601755286	0.002124853
AT3G24982	1.254523995	0.002126615
AT5G38720	0.818205735	0.002130235
AT2G46600	0.743129161	0.00213367
AT1G62290	-1.133916217	0.00213833
AT3G14470	1.004488673	0.002144431
AT1G60550	-0.73819218	0.002146439
AT1G16850	0.815593369	0.00214747
AT1G59510	-0.618870308	0.002152053
AT5G52470	0.668807595	0.002152744
AT2G40460	0.748280019	0.002162377
AT5G14660	-0.6076464	0.002163636
AT1G58080	-0.626108902	0.002168628
AT3G48720	-0.998278708	0.002175287
AT1G53920	0.859065658	0.002182957
AT5G14580	0.955858611	0.002183098
AT3G25860	-0.632191229	0.002203672
AT5G59820	1.389528517	0.002205421
AT3G27400	2.160874392	0.00221138
AT4G32915	-0.696852636	0.002222377
AT5G23830	1.525315221	0.002227063
AT4G02930	0.629539373	0.002228633
AT4G24920	0.614799322	0.002228951
AT3G06810	-1.07042815	0.002229472
AT3G02820	-0.606685355	0.002237826
AT5G47130	0.936193162	0.002240482
AT2G42570	1.069594416	0.002257603
ATMG01370	0.736786479	0.002258377
AT1G31480	0.643302448	0.002258776
AT2G40100	-0.673585278	0.002260831
AT4G21890	-0.658200675	0.002263813
AT5G13490	0.700779139	0.002265661
AT3G54040	1.502270852	0.002271778
AT2G30540	1.499412043	0.002272639
AT2G27130	-0.591529187	0.002273774
AT1G69870	0.610115706	0.002275304
AT3G47840	0.823288562	0.002281899
AT5G13030	-0.714900104	0.002287007
AT4G24430	-0.595872104	0.002289362
AT1G61065	0.77951926	0.002294268
AT3G08920	-0.812534099	0.002294886
AT3G13650	1.337926263	0.00229589
AT1G63780	0.768216483	0.002297483
AT2G18690	1.476774498	0.002297718
AT5G09420	0.893412224	0.002311812
AT2G38800	0.620301766	0.002312634
AT1G01860	-0.751642899	0.002312974
AT1G23100	0.722771052	0.002317866
AT2G31880	0.869309607	0.00232517
AT1G07320	-0.704327307	0.002360898
AT3G09220	0.759515933	0.002367088
AT2G26440	1.126679435	0.002368303
AT3G45010	0.710249582	0.002374046
AT1G76790	0.783748433	0.002375519
AT4G07370	-0.828858945	0.002378957
AT3G25830	2.741812158	0.002380698
ATMG00210	-0.896014212	0.002381754
AT3G23330	0.655128948	0.002398809
AT1G08000	-0.635729541	0.002402892
AT5G25440	1.037648582	0.002428657
AT1G10140	1.802231685	0.002429107
AT2G23950	-0.701069601	0.002438098
AT5G13140	-0.595216499	0.00244537
AT3G12500	0.968046502	0.002445548
AT1G73160	-0.876049574	0.002449804
AT2G35960	-0.800533414	0.002471226
AT2G25355	0.7007018	0.00247439
AT4G05410	0.64603798	0.002475872
AT4G38760	-1.067504798	0.002487191
AT3G60420	2.228268918	0.002488742
AT1G28190	1.202830461	0.0024904
AT2G42360	0.724088832	0.002497215
AT2G25330	-0.98579602	0.002498047
AT1G03290	0.907920669	0.002504458
AT1G20780	-0.596560821	0.002513412
AT1G43630	0.90760006	0.002525893
AT3G10060	-0.896972183	0.002532219
AT1G12830	0.617589054	0.002536222
AT2G04090	0.769890733	0.002536713
AT5G16590	-0.605664382	0.002538603
AT1G03360	0.715613295	0.002544413
AT5G05630	0.573751529	0.002551029
AT5G12410	0.671323706	0.002552889
AT5G17630	-0.589495269	0.002560572
AT5G60300	0.73060148	0.002561312
AT3G18510	0.784397994	0.002563631
AT1G07000	0.917315451	0.00257422
AT4G23540	0.581955597	0.002584135
AT4G29900	0.895582313	0.002585033
AT1G08390	-0.638970846	0.00259956
AT2G42760	0.995919791	0.002608636
AT1G34120	0.570801586	0.002613131
AT5G02460	-0.68055441	0.002620297
AT4G26480	-0.908236186	0.002624126
AT4G02700	-0.897437715	0.002634908
AT1G64980	-0.672940589	0.002637119
AT3G09490	1.002871579	0.002637708
AT5G54150	0.751816075	0.00263928
AT2G45560	-0.782356758	0.002642669
AT2G30550	0.758469674	0.002642825
AT3G16570	-0.644548882	0.002653444
AT2G43160	-1.069185674	0.002654316
AT1G77450	1.615437856	0.002686678
AT2G41650	0.621285487	0.002687318
AT1G08990	0.63462765	0.002693462
AT1G79150	0.724692714	0.002694656
AT4G16760	0.957059095	0.002715968
AT2G27170	-0.61211961	0.002723424
AT4G23600	1.711309853	0.00272743
