Gene	Class
AT3G55970	1
AT4G12500	1
AT2G02990	1
AT5G13220	1
AT2G27690	1
AT5G46050	1
AT3G15720	1
AT5G07010	1
AT1G43160	1
AT2G38240	1
AT1G77380	1
AT4G14365	1
AT5G52760	1
AT1G52890	1
AT1G54020	1
AT5G26260	1
AT3G09270	1
AT2G38530	1
AT1G76960	1
AT1G19380	1
AT1G68290	1
AT1G10585	1
AT2G47180	1
AT5G58350	1
AT1G72450	1
AT1G80840	1
AT3G46230	1
AT5G40780	1
AT2G22880	1
AT4G32870	1
AT3G59220	1
AT2G43510	1
AT3G50900	1
AT1G51760	1
AT3G50970	1
AT4G11890	1
AT5G05600	1
AT2G24850	1
AT1G21100	1
AT1G74360	1
AT5G06870	1
AT3G26830	1
AT4G21120	1
AT1G32640	1
AT2G22860	1
AT2G39030	1
AT4G39675	1
AT4G36580	1
AT1G51800	1
AT5G57550	1
AT1G17380	1
AT3G51450	1
AT2G29500	1
AT1G51890	1
AT1G70700	1
AT3G26210	1
AT1G43910	1
AT1G62660	1
AT5G38020	1
AT4G37410	1
AT5G44380	1
AT4G20110	1
AT3G26820	1
AT5G01540	1
AT3G59670	1
AT5G45380	1
AT1G74010	1
AT1G33960	1
AT4G23220	1
AT1G62570	1
AT4G34230	1
AT2G02810	1
AT1G69880	1
AT4G19430	1
AT3G24500	1
AT3G50770	1
AT2G43620	1
AT4G15440	1
AT3G25780	1
AT5G52640	1
AT4G20860	1
AT1G19180	1
AT5G38710	1
AT5G65870	1
AT2G37130	1
AT4G21390	1
AT2G23120	1
AT5G25930	1
AT5G48540	1
AT2G46270	1
AT5G10380	1
AT3G50280	1
AT1G19610	1
AT1G52400	1
AT3G51890	1
AT4G33050	1
AT3G18560	1
AT1G53540	1
AT4G36990	1
AT5G23810	1
AT1G72940	1
AT3G08970	1
AT2G41100	1
AT4G15210	1
AT3G49780	1
AT1G67120	1
AT5G19875	1
AT2G40370	1
AT4G31800	1
AT2G38860	1
AT3G25020	1
AT2G41800	1
AT1G05340	1
AT5G49520	1
AT5G15860	1
AT2G20560	1
AT3G28210	1
AT1G59860	1
AT1G45145	1
AT3G45140	1
AT1G15010	1
AT5G54490	1
AT5G36220	1
AT2G17040	1
AT2G34930	1
AT3G63010	1
AT3G49320	1
AT1G44350	1
AT1G14370	1
AT1G66160	1
AT1G10470	1
AT5G55050	1
AT1G53885	1
AT1G52000	1
AT1G19670	1
AT3G25180	1
AT1G27730	1
AT4G37990	1
AT2G17740	1
AT1G04980	1
AT5G01850	1
AT5G26770	1
AT3G15210	1
AT1G19020	1
AT1G14870	1
AT3G44860	1
AT2G29460	1
AT4G35180	1
AT1G23730	1
AT5G47330	1
AT2G39380	1
AT2G42280	1
AT3G51440	1
AT2G25000	1
AT2G43530	1
AT5G04720	1
AT1G52030	1
AT2G43520	1
AT2G23680	1
AT3G09350	1
AT5G12020	1
AT5G61890	1
AT1G10370	1
AT1G52200	1
AT5G65280	1
AT3G44750	1
AT2G41380	1
AT1G31550	1
AT2G22770	1
AT1G18570	1
AT1G52410	1
AT1G24575	1
AT3G28270	1
AT1G19570	1
AT5G12420	1
AT3G25760	1
AT3G54420	1
AT3G10930	1
AT3G48520	1
AT4G15660	1
AT3G25610	1
AT3G07860	1
AT1G72260	1
AT3G28540	1
AT2G06050	1
AT2G01530	1
AT3G46280	1
AT1G65500	1
AT3G11010	1
AT5G52390	1
AT5G51130	1
AT3G50480	1
AT4G23810	1
AT3G07750	1
AT3G51430	1
AT5G64510	1
AT5G39670	1
AT4G25110	1
AT5G24530	1
AT5G52750	1
AT2G15080	1
AT1G63040	1
AT5G12030	1
AT4G21850	1
AT4G27860	1
AT1G08830	1
AT2G39200	1
AT1G02930	1
AT4G15610	1
AT3G13790	1
AT4G32800	1
AT2G19670	1
AT3G48080	1
AT2G23540	1
AT1G14120	1
AT2G41410	1
AT4G12480	1
AT1G73800	1
AT2G40000	1
AT4G13660	1
AT2G43000	1
AT3G24982	1
AT3G14470	1
AT5G59820	1
AT3G27400	1
AT5G23830	1
AT2G42570	1
AT3G54040	1
AT2G30540	1
AT3G13650	1
